16000001	CH001	Ruetlischwur AG	01012017	CH	28.6	26.48
NA0111303INV000014	NA002	Amalgamate Supply	28112016	US	64320	64320
NA0111303INV000015	NA001	International Distributors	23122016	US	7356.6	7356.6
NA0111303INV000016	NA002	Amalgamate Supply	29122016	US	59630	59630
NA0111303INV000017	NA001	International Distributors	26012017	US	183714	183714
NA0111303INV000018	NA002	Amalgamate Supply	26012017	US	639749.5	639749.5
NA0111303INV000019	NA001	International Distributors	23022017	US	639749.5	639749.5
NA0111303INV000020	NA002	Amalgamate Supply	23022017	US	384245	384245
NA0111303INV000021	NA001	International Distributors	22032017	US	357954.2	357954.2
NA0111303INV000022	NA002	Amalgamate Supply	23032017	US	340842.4	340842.4
NA0111303INV000023	NA001	International Distributors	25042017	US	568359.66	568359.66
NA0111303INV000024	NA002	Amalgamate Supply	26042017	US	490285.9	490285.9
NA0111303INV000025	NA001	International Distributors	30052017	US	396677.52	396677.52
NA0111303INV000026	NA002	Amalgamate Supply	29052017	US	483472	483472
NA0111303INV000027	NA001	International Distributors	28062017	US	486519.16	486519.16
NA0111303INV000028	NA002	Amalgamate Supply	29062017	US	147266	147266
NA0111303INV000029	NA001	International Distributors	26072017	US	394561.66	394561.66
NA0111303INV000030	NA002	Amalgamate Supply	27072017	US	444699.1	444699.1
NA0111303INV000031	NA001	International Distributors	23082017	US	465696.9	465696.9
NA0111303INV000032	NA002	Amalgamate Supply	24082017	US	5011.6	5011.6
NA0111303INV000033	NA001	International Distributors	27092017	US	318792	318792
NA0111303INV000034	NA002	Amalgamate Supply	24092017	US	163378	163378
NA0111303INV000035	NA001	International Distributors	29102017	US	20914.25	20914.25
NA0111303INV000036	NA002	Amalgamate Supply	30102017	US	536150.75	536150.75
NA0111303INV000037	NA001	International Distributors	27112017	US	105371.9	105371.9
NA0111303INV000038	NA002	Amalgamate Supply	27112017	US	274478.75	274478.75
NA0111303INV000039	NA001	International Distributors	24122017	US	383600.75	383600.75
NA0111303INV000040	NA002	Amalgamate Supply	26122017	US	625426.75	625426.75
NA0121101CRN000001	NA003	Fun Times Stores	28012016	US	165047.5	165047.5
NA0121101CRN000002	NA004	Leisure Sports Inc	27012016	US	211965.3	211965.3
NA0121101INV000001	NA004	Leisure Sports Inc	27012016	US	211965.3	211965.3
NA0121101INV000002	NA003	Fun Times Stores	28012016	US	165047.5	165047.5
NA0121102INV000001	NA003	Fun Times Stores	24022016	US	184614.8	184614.8
NA0121102INV000002	NA004	Leisure Sports Inc	24022016	US	237695.7	237695.7
NA0121103INV000001	NA003	Fun Times Stores	30032016	US	204811.7	204811.7
NA0121103INV000002	NA004	Leisure Sports Inc	30032016	US	262353.5	262353.5
NA0121104CRN000001	NA003	Fun Times Stores	28042016	US	223507.8	223507.8
NA0121104INV000001	NA003	Fun Times Stores	28042016	US	223507.8	223507.8
NA0121104INV000002	NA004	Leisure Sports Inc	28042016	US	287217.1	287217.1
NA0121105INV000001	NA003	Fun Times Stores	30052016	US	204811.7	204811.7
NA0121105INV000002	NA004	Leisure Sports Inc	30052016	US	262353.5	262353.5
NA0121106INV000001	NA003	Fun Times Stores	29062016	US	184614.8	184614.8
NA0121106INV000002	NA004	Leisure Sports Inc	29062016	US	237695.7	237695.7
NA0121107INV000001	NA003	Fun Times Stores	28072016	US	175048.9	175048.9
NA0121107INV000002	NA004	Leisure Sports Inc	28072016	US	224824.1	224824.1
NA0121108INV000001	NA003	Fun Times Stores	30082016	US	184614.8	184614.8
NA0121108INV000002	NA004	Leisure Sports Inc	30082016	US	237695.7	237695.7
NA0121109INV000001	NA003	Fun Times Stores	29092016	US	204811.7	204811.7
NA0121109INV000002	NA004	Leisure Sports Inc	29092016	US	262353.5	262353.5
NA0121110INV000001	NA003	Fun Times Stores	27102016	US	223507.8	223507.8
NA0121110INV000002	NA004	Leisure Sports Inc	27102016	US	287217.1	287217.1
NA0121111INV000001	NA003	Fun Times Stores	29112016	US	204811.7	204811.7
NA0121111INV000002	NA004	Leisure Sports Inc	29112016	US	262353.5	262353.5
NA0121112INV000001	NA003	Fun Times Stores	29122016	US	175048.9	175048.9
NA0121112INV000002	NA004	Leisure Sports Inc	29122016	US	224824.1	224824.1
NA0121201INV000001	NA003	Fun Times Stores	30012017	US	165864.6	165864.6
NA0121201INV000002	NA004	Leisure Sports Inc	30012017	US	212389.6	212389.6
NA0121202INV000001	NA003	Fun Times Stores	28022017	US	185528.8	185528.8
NA0121202INV000002	NA004	Leisure Sports Inc	28022017	US	238171.5	238171.5
NA0121203INV000001	NA003	Fun Times Stores	29032017	US	205825.8	205825.8
NA0121203INV000002	NA004	Leisure Sports Inc	29032017	US	262878.7	262878.7
NA0121204INV000001	NA003	Fun Times Stores	26042017	US	224614.4	224614.4
NA0121204INV000002	NA004	Leisure Sports Inc	26042017	US	287792	287792
NA0121205INV000001	NA003	Fun Times Stores	30052017	US	205825.8	205825.8
NA0121205INV000002	NA004	Leisure Sports Inc	30052017	US	262878.7	262878.7
NA0121206INV000001	NA003	Fun Times Stores	28062017	US	185528.8	185528.8
NA0121206INV000002	NA004	Leisure Sports Inc	28062017	US	238171.5	238171.5
NA0121207INV000001	NA003	Fun Times Stores	30072017	US	175915.6	175915.6
NA0121207INV000002	NA004	Leisure Sports Inc	30072017	US	225274.1	225274.1
NA0121208INV000001	NA003	Fun Times Stores	30082017	US	185528.8	185528.8
NA0121208INV000002	NA004	Leisure Sports Inc	30082017	US	238171.5	238171.5
NA0121209INV000001	NA003	Fun Times Stores	27092017	US	205825.8	205825.8
NA0121209INV000002	NA004	Leisure Sports Inc	27092017	US	262878.7	262878.7
NA0121210INV000001	NA003	Fun Times Stores	30102017	US	224614.4	224614.4
NA0121210INV000002	NA004	Leisure Sports Inc	30102017	US	287792	287792
NA0121211INV000001	NA003	Fun Times Stores	29112017	US	205825.8	205825.8
NA0121211INV000002	NA004	Leisure Sports Inc	29112017	US	262878.7	262878.7
NA0121212INV000001	NA003	Fun Times Stores	27122017	US	175915.6	175915.6
NA0121212INV000002	NA004	Leisure Sports Inc	27122017	US	225274.1	225274.1
NA0131701INVBC000001	NA002	Amalgamate Supply	19012017	US	27250	27250
NA0211303INV000001	NA005	Johnson Wholesale	27012016	US	33960	33960
NA0211303INV000002	NA006	Sysco Supply	27012016	US	35022	35022
NA0211303INV000003	NA005	Johnson Wholesale	24022016	US	34282.95	34282.95
NA0211303INV000004	NA006	Sysco Supply	24022016	US	35160.05	35160.05
NA0211303INV000005	NA005	Johnson Wholesale	30032016	US	34282.95	34282.95
NA0211303INV000006	NA006	Sysco Supply	30032016	US	35160.05	35160.05
NA0211303INV000007	NA005	Johnson Wholesale	28042016	US	34943.65	34943.65
NA0211303INV000008	NA006	Sysco Supply	28042016	US	35919.35	35919.35
NA0211303INV000009	NA005	Johnson Wholesale	30052016	US	34830.15	34830.15
NA0211303INV000010	NA006	Sysco Supply	30052016	US	34588.85	34588.85
NA0211303INV000011	NA005	Johnson Wholesale	29062016	US	35474.65	35474.65
NA0211303INV000012	NA006	Sysco Supply	29062016	US	34434.85	34434.85
NA0211303INV000013	NA005	Johnson Wholesale	28072016	US	34282.95	34282.95
NA0211303INV000014	NA006	Sysco Supply	28072016	US	35160.05	35160.05
NA0211303INV000015	NA005	Johnson Wholesale	30082016	US	35190	35190
NA0211303INV000016	NA006	Sysco Supply	30082016	US	36992.25	36992.25
NA0211303INV000017	NA005	Johnson Wholesale	29092016	US	33960	33960
NA0211303INV000018	NA006	Sysco Supply	29092016	US	35022	35022
NA0211303INV000019	NA005	Johnson Wholesale	27102016	US	34282.95	34282.95
NA0211303INV000020	NA006	Sysco Supply	27102016	US	35160.05	35160.05
NA0211303INV000021	NA005	Johnson Wholesale	29112016	US	33960	33960
NA0211303INV000022	NA006	Sysco Supply	29112016	US	35022	35022
NA0211303INV000023	NA005	Johnson Wholesale	29122016	US	34282.95	34282.95
NA0211303INV000024	NA006	Sysco Supply	29122016	US	35160.05	35160.05
NA0211303INV000025	NA005	Johnson Wholesale	30012017	US	33960	33960
NA0211303INV000026	NA006	Sysco Supply	30012017	US	35022	35022
NA0211303INV000027	NA005	Johnson Wholesale	28022017	US	34635.85	34635.85
NA0211303INV000028	NA006	Sysco Supply	28022017	US	35697.35	35697.35
NA0211303INV000029	NA005	Johnson Wholesale	29032017	US	34904.55	34904.55
NA0211303INV000030	NA006	Sysco Supply	29032017	US	36020.3	36020.3
NA0211303INV000031	NA005	Johnson Wholesale	26042017	US	35103.55	35103.55
NA0211303INV000032	NA006	Sysco Supply	26042017	US	36281.6	36281.6
NA0211303INV000033	NA005	Johnson Wholesale	30052017	US	35380.6	35380.6
NA0211303INV000034	NA006	Sysco Supply	30052017	US	36596.9	36596.9
NA0211303INV000035	NA005	Johnson Wholesale	28062017	US	35657.35	35657.35
NA0211303INV000036	NA006	Sysco Supply	28062017	US	21186.35	21186.35
NA0211303INV000037	NA006	Sysco Supply	28062017	US	15526.05	15526.05
NA0211303INV000038	NA005	Johnson Wholesale	30072017	US	35657.35	35657.35
NA0211303INV000039	NA006	Sysco Supply	30072017	US	36712.4	36712.4
NA0211303INV000040	NA005	Johnson Wholesale	30082017	US	32872	32872
NA0211303INV000041	NA006	Sysco Supply	30082017	US	33975.55	33975.55
NA0211303INV000042	NA005	Johnson Wholesale	27092017	US	34750.3	34750.3
NA0211303INV000043	NA006	Sysco Supply	27092017	US	35778.7	35778.7
NA0211303INV000044	NA005	Johnson Wholesale	30102017	US	34457.8	34457.8
NA0211303INV000045	NA006	Sysco Supply	30102017	US	35477.5	35477.5
NA0211303INV000046	NA005	Johnson Wholesale	29112017	US	34594.35	34594.35
NA0211303INV000047	NA006	Sysco Supply	29112017	US	35456.65	35456.65
NA0211303INV000048	NA005	Johnson Wholesale	27122017	US	35834.3	35834.3
NA0211303INV000049	NA006	Sysco Supply	27122017	US	35548.3	35548.3
NA0211303INV000050	NA006	Sysco Supply	27122017	US	1627.2	1627.2
NA0211303INV000051	NA005	Johnson Wholesale	27012016	US	207903.6	207903.6
NA0211303INV000052	NA006	Sysco Supply	27012016	US	214434	214434
NA0211303INV000053	NA005	Johnson Wholesale	24022016	US	224181	224181
NA0211303INV000054	NA006	Sysco Supply	24022016	US	230711.4	230711.4
NA0211303INV000055	NA005	Johnson Wholesale	30032016	US	240458.4	240458.4
NA0211303INV000056	NA006	Sysco Supply	30032016	US	246988.8	246988.8
NA0211303INV000057	NA005	Johnson Wholesale	28042016	US	243675	243675
NA0211303INV000058	NA006	Sysco Supply	28042016	US	250205.4	250205.4
NA0211303INV000059	NA005	Johnson Wholesale	30052016	US	220964.4	220964.4
NA0211303INV000060	NA006	Sysco Supply	30052016	US	227592.6	227592.6
NA0211303INV000061	NA005	Johnson Wholesale	29062016	US	207903.6	207903.6
NA0211303INV000062	NA006	Sysco Supply	29062016	US	214434	214434
NA0211303INV000063	NA005	Johnson Wholesale	28072016	US	207903.6	207903.6
NA0211303INV000064	NA006	Sysco Supply	28072016	US	214434	214434
NA0211303INV000065	NA005	Johnson Wholesale	30082016	US	224181	224181
NA0211303INV000066	NA006	Sysco Supply	30082016	US	230711.4	230711.4
NA0211303INV000067	NA005	Johnson Wholesale	29092016	US	240458.4	240458.4
NA0211303INV000068	NA006	Sysco Supply	29092016	US	246988.8	246988.8
NA0211303INV000069	NA005	Johnson Wholesale	27102016	US	243675	243675
NA0211303INV000070	NA006	Sysco Supply	27102016	US	250205.4	250205.4
NA0211303INV000071	NA005	Johnson Wholesale	29112016	US	220964.4	220964.4
NA0211303INV000072	NA006	Sysco Supply	29112016	US	227592.6	227592.6
NA0211303INV000073	NA005	Johnson Wholesale	29122016	US	207903.6	207903.6
NA0211303INV000074	NA006	Sysco Supply	29122016	US	181683.6	181683.6
NA0211303INV000075	NA006	Sysco Supply	29122016	US	32750.4	32750.4
NA0211303INV000076	NA005	Johnson Wholesale	30012017	US	207903.6	207903.6
NA0211303INV000077	NA006	Sysco Supply	30012017	US	214434	214434
NA0211303INV000078	NA005	Johnson Wholesale	28022017	US	224181	224181
NA0211303INV000079	NA006	Sysco Supply	28022017	US	230711.4	230711.4
NA0211303INV000080	NA005	Johnson Wholesale	29032017	US	240458.4	240458.4
NA0211303INV000081	NA006	Sysco Supply	29032017	US	214434	214434
NA0211303INV000082	NA006	Sysco Supply	29032017	US	32554.8	32554.8
NA0211303INV000083	NA005	Johnson Wholesale	26042017	US	243675	243675
NA0211303INV000084	NA006	Sysco Supply	26042017	US	250205.4	250205.4
NA0211303INV000085	NA005	Johnson Wholesale	30052017	US	220964.4	220964.4
NA0211303INV000086	NA006	Sysco Supply	30052017	US	227592.6	227592.6
NA0211303INV000087	NA005	Johnson Wholesale	28062017	US	207903.6	207903.6
NA0211303INV000088	NA006	Sysco Supply	28062017	US	214434	214434
NA0211303INV000089	NA005	Johnson Wholesale	27072017	US	207903.6	207903.6
NA0211303INV000090	NA006	Sysco Supply	27072017	US	214434	214434
NA0211303INV000091	NA006	Sysco Supply	26102017	US	213510.3	213510.3
NA0211303INV000092	NA005	Johnson Wholesale	26102017	US	216591	216591
NA0211303INV000093	NA005	Johnson Wholesale	28092017	US	234290.9	234290.9
NA0211303INV000094	NA006	Sysco Supply	28092017	US	240653.8	240653.8
NA0211303INV000095	NA005	Johnson Wholesale	28092017	US	237425	237425
NA0211303INV000096	NA006	Sysco Supply	28092017	US	243787.9	243787.9
NA0211303INV000097	NA006	Sysco Supply	29102017	US	9390	9390
NA0211303INV000098	NA005	Johnson Wholesale	28112017	US	209402.7	209402.7
NA0211303INV000099	NA006	Sysco Supply	28112017	US	215684.1	215684.1
NA0211303INV000100	NA005	Johnson Wholesale	27122017	US	203211	203211
NA0211303INV000101	NA006	Sysco Supply	27122017	US	209594	209594
NA0221302INV000001	NA007	Williams Distrbutors	31012016	US	37252	37252
NA0221302INV000002	NA008	Aldermans	31012016	US	37252	37252
NA0221302INV000003	NA007	Williams Distrbutors	29022016	US	36582	36582
NA0221302INV000004	NA008	Aldermans	29022016	US	38290.5	38290.5
NA0221302INV000005	NA007	Williams Distrbutors	30032016	US	37319	37319
NA0221302INV000006	NA008	Aldermans	30032016	US	37319	37319
NA0221302INV000007	NA007	Williams Distrbutors	29042016	US	66129	66129
NA0221302INV000008	NA008	Aldermans	29042016	US	65928	65928
NA0221302INV000009	NA007	Williams Distrbutors	30052016	US	44622	44622
NA0221302INV000010	NA008	Aldermans	30052016	US	43952	43952
NA0221302INV000011	NA007	Williams Distrbutors	29062016	US	45593.5	45593.5
NA0221302INV000012	NA008	Aldermans	29062016	US	42612	42612
NA0221302INV000013	NA007	Williams Distrbutors	29072016	US	45292	45292
NA0221302INV000014	NA008	Aldermans	29072016	US	45895	45895
NA0221302INV000015	NA007	Williams Distrbutors	30082016	US	42980.5	42980.5
NA0221302INV000016	NA008	Aldermans	30082016	US	47000.5	47000.5
NA0221302INV000017	NA007	Williams Distrbutors	29092016	US	43952	43952
NA0221302INV000018	NA008	Aldermans	29092016	US	44555	44555
NA0221302INV000019	NA007	Williams Distrbutors	31102016	US	43952	43952
NA0221302INV000020	NA008	Aldermans	31102016	US	46632	46632
NA0221302INV000021	NA007	Williams Distrbutors	29112016	US	45292	45292
NA0221302INV000022	NA008	Aldermans	29112016	US	47302	47302
NA0221302INV000023	NA007	Williams Distrbutors	29122016	US	45292	45292
NA0221302INV000024	NA008	Aldermans	29122016	US	47302	47302
NA0221302INV000025	NA007	Williams Distrbutors	30012017	US	45292	45292
NA0221302INV000026	NA008	Aldermans	30012017	US	47302	47302
NA0221302INV000027	NA007	Williams Distrbutors	27022017	US	42980.5	42980.5
NA0221302INV000028	NA008	Aldermans	27022017	US	48943.5	48943.5
NA0221302INV000029	NA007	Williams Distrbutors	30032017	US	45292	45292
NA0221302INV000030	NA008	Aldermans	30032017	US	47302	47302
NA0221302INV000031	NA007	Williams Distrbutors	30042017	US	45292	45292
NA0221302INV000032	NA008	Aldermans	30042017	US	47302	47302
NA0221302INV000033	NA007	Williams Distrbutors	30052017	US	43282	43282
NA0221302INV000034	NA008	Aldermans	30052017	US	47972	47972
NA0221302INV000035	NA007	Williams Distrbutors	29062017	US	44689	44689
NA0221302INV000036	NA008	Aldermans	29062017	US	47972	47972
NA0221302INV000037	NA007	Williams Distrbutors	30072017	US	45660.5	45660.5
NA0221302INV000038	NA008	Aldermans	30072017	US	47972	47972
NA0221302INV000039	NA007	Williams Distrbutors	30082017	US	45270.4	45270.4
NA0221302INV000040	NA008	Aldermans	30082017	US	46180.2	46180.2
NA0221302INV000041	NA007	Williams Distrbutors	27092017	US	44861.1	44861.1
NA0221302INV000042	NA008	Aldermans	27092017	US	48060.8	48060.8
NA0221302INV000043	NA007	Williams Distrbutors	30102017	US	45555.25	45555.25
NA0221302INV000044	NA008	Aldermans	30102017	US	46494.2	46494.2
NA0221302INV000045	NA007	Williams Distrbutors	29112017	US	43624.5	43624.5
NA0221302INV000046	NA008	Aldermans	29112017	US	44894.5	44894.5
NA0221302INV000047	NA007	Williams Distrbutors	27122017	US	43983.25	43983.25
NA0221302INV000048	NA008	Aldermans	27122017	US	43983.25	43983.25
NA0231302INV000001	NA009	ABC Industrial	14012016	US	48899.9	48899.9
NA0231302INV000002	NA009	ABC Industrial	31012016	US	47457.6	47457.6
NA0231302INV000003	NA010	Dayton Marshall Inc	25022016	US	45782.6	45782.6
NA0231302INV000004	NA009	ABC Industrial	25022016	US	1442.3	1442.3
NA0231302INV000005	NA009	ABC Industrial	15032016	US	45782.6	45782.6
NA0231302INV000006	NA010	Dayton Marshall Inc	30032016	US	52017.2	52017.2
NA0231302INV000007	NA009	ABC Industrial	26042016	US	41478.75	41478.75
NA0231302INV000008	NA010	Dayton Marshall Inc	26042016	US	41967.2	41967.2
NA0231302INV000009	NA009	ABC Industrial	30052016	US	43153.75	43153.75
NA0231302INV000010	NA010	Dayton Marshall Inc	30052016	US	47108.55	47108.55
NA0231302INV000011	NA009	ABC Industrial	28062016	US	52133.55	52133.55
NA0231302INV000012	NA010	Dayton Marshall Inc	28062016	US	49318.65	49318.65
NA0231302INV000013	NA009	ABC Industrial	28072016	US	42967.7	42967.7
NA0231302INV000014	NA010	Dayton Marshall Inc	28072016	US	49737.4	49737.4
NA0231302INV000015	NA009	ABC Industrial	29082016	US	50239.9	50239.9
NA0231302INV000016	NA010	Dayton Marshall Inc	29082016	US	50574.9	50574.9
NA0231302INV000017	NA009	ABC Industrial	26092016	US	49923.45	49923.45
NA0231302INV000018	NA010	Dayton Marshall Inc	28092016	US	49016.25	49016.25
NA0231302INV000019	NA009	ABC Industrial	28102016	US	95846	95846
NA0231302INV000020	NA010	Dayton Marshall Inc	28102016	US	91053.7	91053.7
NA0231302INV000021	NA009	ABC Industrial	28112016	US	49016.25	49016.25
NA0231302INV000022	NA010	Dayton Marshall Inc	28112016	US	48681.25	48681.25
NA0231302INV000023	NA009	ABC Industrial	28122016	US	50039.8	50039.8
NA0231302INV000024	NA010	Dayton Marshall Inc	28122016	US	49132.6	49132.6
NA0231302INV000025	NA009	ABC Industrial	27012017	US	51682.2	51682.2
NA0231302INV000026	NA010	Dayton Marshall Inc	27012017	US	50877.3	50877.3
NA0231302INV000027	NA009	ABC Industrial	27022017	US	47038.85	47038.85
NA0231302INV000028	NA010	Dayton Marshall Inc	27022017	US	51714.8	51714.8
NA0231302INV000029	NA009	ABC Industrial	30032017	US	56809.5	56809.5
NA0231302INV000030	NA010	Dayton Marshall Inc	30032017	US	53808.55	53808.55
NA0231302INV000031	NA009	ABC Industrial	27042017	US	47457.6	47457.6
NA0231302INV000032	NA010	Dayton Marshall Inc	27042017	US	47457.6	47457.6
NA0231302INV000033	NA009	ABC Industrial	29052017	US	50993.65	50993.65
NA0231302INV000034	NA010	Dayton Marshall Inc	29052017	US	48899.9	48899.9
NA0231302INV000035	NA009	ABC Industrial	26062017	US	48597.5	48597.5
NA0231302INV000036	NA010	Dayton Marshall Inc	26062017	US	50877.3	50877.3
NA0231302INV000037	NA009	ABC Industrial	30072017	US	50574.9	50574.9
NA0231302INV000038	NA010	Dayton Marshall Inc	30072017	US	53157.1	53157.1
NA0231302INV000039	NA009	ABC Industrial	27082017	US	48899.9	48899.9
NA0231302INV000040	NA010	Dayton Marshall Inc	27082017	US	49621.05	49621.05
NA0231302INV000041	NA009	ABC Industrial	28092017	US	46148.75	46148.75
NA0231302INV000042	NA010	Dayton Marshall Inc	28092017	US	46965.25	46965.25
NA0231302INV000043	NA009	ABC Industrial	30102017	US	48364.4	48364.4
NA0231302INV000044	NA010	Dayton Marshall Inc	30102017	US	47375.25	47375.25
NA0231302INV000045	NA009	ABC Industrial	28112017	US	50150.85	50150.85
NA0231302INV000046	NA010	Dayton Marshall Inc	28112017	US	48466.35	48466.35
NA0231302INV000047	NA009	ABC Industrial	27122017	US	48633	48633
NA0231302INV000048	NA010	Dayton Marshall Inc	27122017	US	48633	48633
NA0231403INV000001	NA010	Dayton Marshall Inc	14032017	US	49621.05	49621.05
NCC-PT02116/00000001	PT002	Bikes do Barreiro	06092017	PT	2360.12	1918.8
NCC-PT02116/00000002	PT002	Bikes do Barreiro	07092017	PT	2360.12	1918.8
NCC-PT02116/00000003	PT002	Bikes do Barreiro	07092017	PT	2360.12	1918.8
NCCPT02115/00000001	PT001	As Bicicletas do Norte	30012017	PT	11.16	9.07
NCCPT03115/00000001	PT003	Farmácia de Matosinhos	26082017	PT	455.1	370
NCCPT03215/00000001	PT001	As Bicicletas do Norte	30012017	PT	158261.15	128667.6
NCCPT03215/00000002	PT001	As Bicicletas do Norte	30012017	PT	90581.51	73643.5
NCCPT03215/00000003	PT001	As Bicicletas do Norte	28082017	PT	90581.51	73643.5
NCCPT03215/00000004	PT002	Bikes do Barreiro	28082017	PT	1401.56	1139.48
PRFES0110001	ES001	BH	22102016	ES	992.2	820
PRFFR0120001	FR001	Urban Cycle	28102017	FR	35428.62	29622.59
PRFLT1020001	KR_PIRK01	Pirkėjas pirmas UAB	11042018	LT	80.73	66.72
PRFLV1010001	LVK18001	Testa klients SIA	11042018	LV	121	100
PRFLV1010002	LVK18001	Testa klients SIA	11042018	LV	7381	6100
PRFLV1010003	LVK18001	Testa klients SIA	13112018	LV	968	800
PRFZA0230001	ZA007	Ericsson	06062017	MZ	129.4	129.4
PT01113-FCL-00000004	PT006	Distribuidora Gomes & Barbosa	01042018	PT	4472.28	3636
PT02113-FCL-00000001	PT005	Supermercados Rosa Fresca	30012017	PT	38068.5	30950
PT02113-FCL-00000002	PT005	Supermercados Rosa Fresca	28022017	PT	38068.5	30950
PT02113-FCL-00000003	PT005	Supermercados Rosa Fresca	30032017	PT	38068.5	30950
PT02113-FCL-00000004	PT005	Supermercados Rosa Fresca	30042017	PT	38068.5	30950
PT02113-FCL-00000005	PT005	Supermercados Rosa Fresca	31052017	PT	38068.5	30950
PT02113-FCL-00000006	PT005	Supermercados Rosa Fresca	29062017	PT	38068.5	30950
PT02113-FCL-00000007	PT005	Supermercados Rosa Fresca	31072017	PT	38068.5	30950
PT02113-FCL-00000008	PT005	Supermercados Rosa Fresca	31082017	PT	38068.5	30950
PT02113-FCL-00000009	PT005	Supermercados Rosa Fresca	28092017	PT	38191.5	31050
PT02113-FCL-00000010	PT005	Supermercados Rosa Fresca	31102017	PT	38068.5	30950
PT02212-FCL-00000001	PT004	Distribuição Farmacêutica Oeiras	30012016	PT	10147.5	8250
PT02212-FCL-00000002	PT004	Distribuição Farmacêutica Oeiras	29022016	PT	10147.5	8250
PT02212-FCL-00000003	PT004	Distribuição Farmacêutica Oeiras	30042016	PT	6765	5500
PT02212-FCL-00000004	PT004	Distribuição Farmacêutica Oeiras	30042016	PT	6765	5500
PT02212-FCL-00000005	PT004	Distribuição Farmacêutica Oeiras	30052016	PT	6888	5600
PT02212-FCL-00000006	PT004	Distribuição Farmacêutica Oeiras	28092016	PT	10147.5	8250
PT02212-FCL-00000007	PT004	Distribuição Farmacêutica Oeiras	30102016	PT	10147.5	8250
PT02212-FCL-00000008	PT004	Distribuição Farmacêutica Oeiras	30112016	PT	10147.5	8250
PT02213-FCL-00000001	FR012	Bike City	31122017	FR	1250	1250
PT02313-FCL-00000001	PT006	Distribuidora Gomes & Barbosa	29032017	PT	20925.99	17013
PT02313-FCL-00000002	PT006	Distribuidora Gomes & Barbosa	28062017	PT	7687.5	6250
PT02313-FCL-00000003	PT006	Distribuidora Gomes & Barbosa	30092017	PT	20925.99	17013
PT02313-FCL-00000004	PT006	Distribuidora Gomes & Barbosa	29112017	PT	14562.34	11839.3
PT03111-FCL-00000001	PT008	Industria e Manufacturas	04012016	PT	2416.95	1965
PT03111-FCL-00000002	PT006	Distribuidora Gomes & Barbosa	05012016	PT	2416.95	1965
PT03111-FCL-00000003	PT003	Farmácia de Matosinhos	07022016	PT	659.28	536
PT03111-FCL-00000004	PT005	Supermercados Rosa Fresca	03022016	PT	659.28	536
PT03111-FCL-00000005	PT005	Supermercados Rosa Fresca	01042016	PT	659.28	536
PT03111-FCL-00000006	PT006	Distribuidora Gomes & Barbosa	03052016	PT	659.28	536
PT03111-FCL-00000007	PT006	Distribuidora Gomes & Barbosa	03062016	PT	659.28	536
PT03111-FCL-00000008	PT008	Industria e Manufacturas	04072016	PT	659.28	536
PT03111-FCL-00000009	PT002	Bikes do Barreiro	03082016	PT	659.28	536
PT03111-FCL-00000010	PT002	Bikes do Barreiro	05092016	PT	474.78	386
PT03111-FCL-00000011	PT003	Farmácia de Matosinhos	03102016	PT	565.8	460
PT03111-FCL-00000012	PT006	Distribuidora Gomes & Barbosa	03112016	PT	573.18	466
PT03111-FCL-00000013	PT005	Supermercados Rosa Fresca	03122016	PT	563.34	458
PT03112-FCL-00000001	PT006	Distribuidora Gomes & Barbosa	20012017	PT	573.18	466
PT03112-FCL-00000002	PT006	Distribuidora Gomes & Barbosa	21022017	PT	270.6	220
PT03112-FCL-00000003	PT005	Supermercados Rosa Fresca	02032017	PT	410.82	334
PT03112-FCL-00000004	PT005	Supermercados Rosa Fresca	13042017	PT	730.62	594
PT03112-FCL-00000005	PT003	Farmácia de Matosinhos	10052017	PT	455.1	370
PT03112-FCL-00000006	PT008	Industria e Manufacturas	15062017	PT	4833.9	3930
PT03112-FCL-00000007	PT005	Supermercados Rosa Fresca	09072017	PT	1254.6	1020
PT03112-FCL-00000008	PT006	Distribuidora Gomes & Barbosa	06082017	PT	573.18	466
PT03112-FCL-00000009	PT008	Industria e Manufacturas	07092017	PT	4833.9	3930
PT03112-FCL-00000010	PT002	Bikes do Barreiro	18102017	PT	474.78	386
PT03112-FCL-00000011	PT002	Bikes do Barreiro	14112017	PT	612.54	498
PT03112-FCL-00000012	PT002	Bikes do Barreiro	14112017	PT	46.74	38
PT03112-FCL-00000013	PT008	Industria e Manufacturas	10122017	PT	6393.87	5895
PT03211-FCL-00000001	PT001	As Bicicletas do Norte	28012016	PT	90581.51	73643.5
PT03211-FCL-00000002	PT002	Bikes do Barreiro	26022016	PT	95509.38	77649.9
PT03211-FCL-00000003	PT001	As Bicicletas do Norte	24032016	PT	90581.51	73643.5
PT03211-FCL-00000004	PT002	Bikes do Barreiro	15042016	PT	95509.38	77649.9
PT03211-FCL-00000005	PT002	Bikes do Barreiro	23052016	PT	80725.76	65630.7
PT03211-FCL-00000006	PT001	As Bicicletas do Norte	24062016	PT	90581.51	73643.5
PT03211-FCL-00000007	PT001	As Bicicletas do Norte	29072016	PT	90581.51	73643.5
PT03211-FCL-00000008	PT002	Bikes do Barreiro	29082016	PT	41160.47	33463.8
PT03211-FCL-00000009	PT001	As Bicicletas do Norte	23092016	PT	90581.51	73643.5
PT03211-FCL-00000010	PT001	As Bicicletas do Norte	28102016	PT	90581.51	73643.5
